DPTO,MPIO,CODIGO_DE_LA_ARL,AÑO_DE_INFORME,MES_DE_INFORME,ACTIVEC,RELA_DEP,RELA_INDEP,PRESUACCIDETRASUCE,MUERTES_REPOR_AT,NUEVAPENSIOINVA_R_AT,NUEVAPENSIOINVA_R_EL,INCAPERMAPARCIAR_AT,INCAPERMAPARCIAR_EL
HUILA,PALERMO,1423,2024,10,1462001,16,0,0,0,0,0,0,0
ANTIOQUIA,BELLO,1423,2024,10,3432101,50,0,0,0,0,0,0,0
SANTANDER,BUCARAMANGA,1423,2024,10,3231001,4,0,0,0,0,0,0,0
VALLE DEL CAUCA,RESTREPO,1423,2024,10,1475901,1,0,0,0,0,0,0,0
CUNDINAMARCA,FOMEQUE,1423,2024,10,1692001,0,0,0,0,0,0,0,0
SUCRE,SINCELEJO,1423,2024,10,1464401,4,0,0,0,0,0,0,0
SUCRE,SINCELEJO,1423,2024,10,2014501,39,0,0,0,0,0,0,0
CUNDINAMARCA,FUNZA,1423,2024,10,1471101,17,0,1,1,1,0,0,0
ANTIOQUIA,AMALFI,1423,2024,10,1463101,0,0,0,0,0,0,0,0
MAGDALENA,FUNDACION,1423,2024,10,5251101,0,0,0,0,0,0,0,0
CAQUETA,FLORENCIA,1423,2024,10,1461002,0,0,0,0,0,0,0,0
ANTIOQUIA,LIBORINA,1423,2024,10,1970001,2,0,0,0,0,0,0,0
BOGOTA,"BOGOTA, D.C.",1423,2024,10,5429001,7436,1379,18,18,18,0,0,0
VALLE DEL CAUCA,TULUA,1423,2024,10,1466901,1,0,0,0,0,0,0,0
SANTANDER,LEBRIJA,1423,2024,10,2014501,54,0,0,0,0,0,0,0
BOYACA,CHIQUINQUIRA,1423,2024,10,2016201,7,0,0,0,0,0,0,0
SANTANDER,LEBRIJA,1423,2024,10,4466901,0,0,0,0,0,0,0,0
SUCRE,SINCELEJO,1423,2024,10,2015001,103,25,2,2,2,0,0,0
AMAZONAS,LETICIA,1423,2024,10,2016101,3,0,0,0,0,0,0,0
MAGDALENA,CIENAGA,1423,2024,10,3432202,0,0,0,0,0,0,0,0
LA GUAJIRA,BARRANCAS,1423,2024,10,2463201,0,0,0,0,0,0,0,0
LA GUAJIRA,ALBANIA,1423,2024,10,1841301,0,0,0,0,0,0,0,0
ARAUCA,ARAUCA,1423,2024,10,4370001,123,19,3,3,3,0,0,0
CHOCO,QUIBDO,1423,2024,10,1772901,1,0,0,0,0,0,0,0
META,VILLAVICENCIO,1423,2024,10,5431201,10,0,0,0,0,0,0,0
BOLIVAR,CARTAGENA,1423,2024,10,3783001,2,0,0,0,0,0,0,0
VALLE DEL CAUCA,ZARZAL,1423,2024,10,3381101,2,0,0,0,0,0,0,0
SANTANDER,MOGOTES,1423,2024,10,1881001,18,0,0,0,0,0,0,0
CUNDINAMARCA,COGUA,1423,2024,10,2011301,7,0,0,0,0,0,0,0
CUNDINAMARCA,ZIPAQUIRA,1423,2024,10,5431201,0,0,0,0,0,0,0,0
ANTIOQUIA,SONSON,1423,2024,10,4492101,0,0,0,0,0,0,0,0
HUILA,RIVERA,1423,2024,10,1477301,0,0,0,0,0,0,0,0
CASANARE,PAZ DE ARIPORO,1423,2024,10,2471901,10,0,0,0,0,0,0,0
SUCRE,COLOSO,1423,2024,10,2851101,0,0,0,0,0,0,0,0
ANTIOQUIA,NECOCLI,1423,2024,10,2471901,4,0,0,0,0,0,0,0
MAGDALENA,CIENAGA,1423,2024,10,1889001,7,2,0,0,0,0,0,0
BOYACA,JERICO,1423,2024,10,2851101,10,0,0,0,0,0,0,0
CAUCA,POPAYAN,1423,2024,10,2472101,97,0,0,0,0,0,0,0
ARAUCA,TAME,1423,2024,10,1841301,1,11,0,0,0,0,0,0
CESAR,BOSCONIA,1423,2024,10,1471101,4,0,0,0,0,0,0,0
ANTIOQUIA,RETIRO,1423,2024,10,4492101,0,0,0,0,0,0,0,0
N. DE SANTANDER,TIBU,1423,2024,10,2601001,2,0,0,0,0,0,0,0
CORDOBA,CERETE,1423,2024,10,1692001,1,0,0,0,0,0,0,0
CUNDINAMARCA,CHOACHI,1423,2024,10,2472301,3,0,0,0,0,0,0,0
PUTUMAYO,MOCOA,1423,2024,10,1620101,1,0,0,0,0,0,0,0
SANTANDER,LANDAZURI,1423,2024,10,2015001,0,0,0,0,0,0,0,0
NARIÑO,SAMANIEGO,1423,2024,10,2619001,0,0,0,0,0,0,0,0
PUTUMAYO,MOCOA,1423,2024,10,2477401,4,0,0,0,0,0,0,0
CAQUETA,FLORENCIA,1423,2024,10,1702001,11,9,0,0,0,0,0,0
SANTANDER,SAN GIL,1423,2024,10,1466401,0,0,0,0,0,0,0,0
NARIÑO,BUESACO,1423,2024,10,1476101,0,0,0,0,0,0,0,0
N. DE SANTANDER,CUCUTA,1423,2024,10,2551101,347,0,2,2,2,0,0,0
BOYACA,TUNJA,1423,2024,10,1631101,31,0,0,0,0,0,0,0
BOGOTA,"BOGOTA, D.C.",1423,2024,10,1799001,2343,778,3,3,3,0,0,0
CAQUETA,SAN JOSE DEL FRAGUA,1423,2024,10,1970001,1,0,0,0,0,0,0,0
HUILA,PALERMO,1423,2024,10,5099001,9,0,0,0,0,0,0,0
TOLIMA,MELGAR,1423,2024,10,1464101,0,0,0,0,0,0,0,0
CUNDINAMARCA,COTA,1423,2024,10,4202201,3,0,0,0,0,0,0,0
CUNDINAMARCA,UNE,1423,2024,10,2472301,0,0,0,0,0,0,0,0
ANTIOQUIA,ITAGUI,1423,2024,10,2139201,33,0,0,0,0,0,0,0
